%time,field.data
1621612868249110469,-0.206680344872
1621612868250108910,-0.21171768454
1621612868251086767,-0.211902516133
1621612868252090918,-0.212947818455
1621612868253120636,-0.210017653041
1621612868254063269,-0.207806081666
1621612868255103728,-0.211022360876
1621612868256059670,-0.203112463771
1621612868257054451,-0.211785795432
1621612868258061972,-0.210858953065
1621612868259079136,-0.203357476665
1621612868260086515,-0.20657756967
1621612868261069764,-0.208250074662
1621612868262082739,-0.206969411778
1621612868263165541,-0.204074988972
1621612868264069408,-0.2058322357
1621612868265031960,-0.203690952185
1621612868266135190,-0.202339763306
1621612868267026486,-0.201096159901
1621612868268019635,-0.201065084114
1621612868269080676,-0.202887856259
1621612868270104005,-0.200864397708
1621612868271148402,-0.20157365619
1621612868272161506,-0.203918447008
1621612868273058294,-0.207453709009
1621612868274081876,-0.193968111337
1621612868275047788,-0.207411664072
1621612868276049638,-0.199455401604
1621612868277043340,-0.201637850161
1621612868278069068,-0.195245919935
1621612868279052767,-0.198871242972
1621612868280088035,-0.198693882342
1621612868281047155,-0.201347099206
1621612868282086654,-0.192676202596
1621612868283100542,-0.198670087432
1621612868284024616,-0.195075078881
1621612868285059674,-0.194956775683
1621612868286074032,-0.194303936187
1621612868287092465,-0.192601322095
1621612868288026004,-0.196408565173
1621612868289058327,-0.194783514854
1621612868290078915,-0.188848592928
1621612868291103358,-0.197261667605
1621612868292215154,-0.194525974153
1621612868293129754,-0.191139114548
1621612868294036639,-0.194757387791
1621612868295024855,-0.189062751435
1621612868296040801,-0.193826386752
1621612868297065076,-0.186395210366
1621612868298061813,-0.189992962448
1621612868299105586,-0.192337288222
1621612868300114064,-0.190836058811
1621612868301076338,-0.190087955131
1621612868302037527,-0.189701933899
1621612868303032642,-0.190013172131
1621612868304032698,-0.193633781666
1621612868305097002,-0.189587142376
1621612868306056174,-0.189273397991
1621612868307045919,-0.186976921354
1621612868310546814,-0.189222191132
1621612868310596308,-0.185576010209
1621612868310637568,-0.188887043717
1621612868311103550,-0.196062717227
1621612868312110657,-0.189665250025
1621612868313087413,-0.18476834533
1621612868314093434,-0.195570184535
1621612868315100048,-0.190238779551
1621612868316037798,-0.187853107935
1621612868317099946,-0.187534790993
1621612868318089423,-0.189212202295
1621612868319065594,-0.188497267257
1621612868320051058,-0.183726292514
1621612868321104580,-0.18395640781
1621612868322061475,-0.183824084243
1621612868323049462,-0.178127779206
1621612868324067519,-0.184222808864
1621612868325059677,-0.181035693212
1621612868326068771,-0.182140591722
1621612868327067074,-0.184344006891
1621612868328052241,-0.179559345555
1621612868329118802,-0.183288811639
1621612868330152454,-0.18208551433
1621612868331132357,-0.179848633596
1621612868332097035,-0.178437217342
1621612868333033845,-0.179341363951
1621612868334072891,-0.172496825614
