%time,field.data
1621612866546149952,0.450783363825
1621612866547128052,0.450742406148
1621612866548191687,0.45070490802
1621612866549161514,0.450666870162
1621612866550030069,0.450628688754
1621612866551070950,0.450593229558
1621612866552028544,0.450557545609
1621612866553017777,0.450522206791
1621612866554055096,0.450487793748
1621612866555093850,0.450453936625
1621612866556086551,0.450423164156
1621612866557104128,0.450392115943
1621612866558039607,0.450363749597
1621612866559030975,0.450332436612
1621612866560034841,0.450305962726
1621612866561032716,0.450281619242
1621612866562040636,0.450251090042
1621612866563087692,0.450227560423
1621612866564052404,0.450201736225
1621612866565059350,0.450176815786
1621612866566110382,0.450154673
1621612866567185217,0.450131089822
1621612866568184240,0.450109556847
1621612866569049229,0.450085834679
1621612866570078494,0.450066700354
1621612866571122757,0.450047530311
1621612866572065949,0.450029400472
1621612866573045849,0.450009815868
1621612866574032260,0.449995509653
1621612866575046538,0.44997972445
1621612866576082410,0.449966490449
1621612866577237519,0.449953758789
1621612866578430732,0.449940058622
1621612866579299891,0.449929521818
1621612866580289341,0.449918301577
1621612866581235899,0.449907581359
1621612866582282535,0.44989547412
1621612866583267749,0.449887263619
1621612866584104622,0.449877978838
1621612866585083794,0.449873182664
1621612866586111334,0.44986537802
1621612866587053712,0.449860116571
1621612866588387477,0.449853932804
1621612866589019073,0.449851185818
1621612866590069616,0.449847903172
1621612866591041132,0.449845219983
1621612866592054510,0.449844727272
1621612866593074137,0.449842084966
1621612866594080155,0.449844704963
1621612866595110155,0.449844489726
1621612866596074916,0.449844937337
1621612866597144094,0.449846238949
1621612866598084076,0.449848838651
1621612866599119126,0.449854129861
1621612866600044875,0.449856835604
1621612866601030110,0.449859804444
1621612866602054057,0.449867377879
1621612866603040824,0.449871010256
1621612866604014325,0.449878100856
1621612866605070207,0.449881431338
1621612866606082403,0.449888361729
1621612866607037608,0.449895572515
1621612866608075580,0.449903421775
1621612866609064696,0.4499112813
1621612866610080034,0.449916377072
1621612866611038579,0.449925291701
1621612866612053603,0.449934182837
1621612866613068868,0.449941773792
1621612866614092844,0.449949100109
1621612866615152191,0.44995501273
1621612866616143702,0.449963748097
1621612866617053449,0.449976758823
1621612866618073146,0.449984907129
1621612866619112830,0.449995205353
1621612866620115534,0.450005772079
1621612866621068459,0.45001478137
1621612866622102311,0.450027121042
1621612866623042952,0.450038587477
1621612866624073292,0.450054053021
1621612866625166604,0.450065887673
1621612866626058690,0.450076692709
1621612866627087331,0.450094232936
1621612866628078787,0.450107375531
1621612866629028905,0.450122324983
1621612866630080347,0.450134331321
1621612866631075357,0.450153990218
1621612866632077517,0.450166750511
1621612866633052081,0.450184750271
1621612866634046510,0.450201828357
1621612866635044346,0.450215965517
1621612866636107018,0.450234530459
1621612866637033117,0.450247864573
1621612866638036861,0.450267419728
1621612866639078213,0.450282376848
1621612866640059017,0.45030161545
1621612866641056069,0.450319280134
1621612866642160689,0.45033879233
1621612866643094100,0.450356779424
1621612866644074671,0.450377083677
1621612866645148856,0.450396024303
1621612866646058255,0.450417081832
1621612866647039056,0.450440308046
1621612866648039505,0.450459438551
1621612866649021352,0.450481631455
1621612866650079995,0.450507216497
1621612866651045493,0.450532988161
1621612866652032296,0.450555905701
1621612866653031528,0.450581533022
1621612866654053269,0.45060866575
1621612866655031922,0.450634081984
1621612866656033864,0.450659882676
1621612866657036826,0.450687794646
1621612866658058409,0.450712322566
1621612866659065736,0.450740890358
1621612866660043367,0.450769464504
1621612866661051642,0.45079434825
1621612866662070177,0.450826206327
1621612866663065608,0.450853967491
1621612866664109729,0.450885315346
1621612866665046871,0.450916732168
1621612866666046393,0.450947666293
1621612866667043303,0.450976495887
1621612866668053342,0.45101025317
1621612866669042290,0.451041964215
1621612866670084161,0.451072905973
1621612866671101039,0.451104321174
1621612866672041468,0.451138041815
1621612866673106471,0.451172437073
1621612866674112517,0.451209152196
1621612866675086596,0.4512425706
1621612866676029738,0.451282428655
1621612866677036210,0.451318668108
1621612866678041298,0.451357610066
1621612866679057587,0.451394433203
1621612866680058014,0.451433467993
1621612866681048433,0.451471824654
1621612866682060867,0.451509562014
1621612866683070588,0.451552043377
1621612866684157562,0.451593750892
1621612866685155887,0.451637270561
1621612866686086867,0.451677835298
1621612866687083836,0.451720234718
